contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type
SPY241002P00547000,2024-10-01 20:02:19+00:00,547.0,0.02,0.01,0.02,-0.01,-33.333336,676.0,585,0.3007882421875,False,REGULAR,USD,put
SPY241002P00548000,2024-10-01 20:06:07+00:00,548.0,0.01,0.01,0.02,-0.03,-75.0,1011.0,901,0.2890696093749999,False,REGULAR,USD,put
SPY241002P00549000,2024-10-01 20:14:13+00:00,549.0,0.02,0.01,0.02,-0.01,-33.333336,1017.0,485,0.27735097656249996,False,REGULAR,USD,put
SPY241002P00550000,2024-10-01 20:14:55+00:00,550.0,0.02,0.02,0.03,-0.01,-33.333336,7255.0,1832,0.27735097656249996,False,REGULAR,USD,put
SPY241002P00551000,2024-10-01 20:03:50+00:00,551.0,0.03,0.02,0.03,0.0,0.0,4094.0,2277,0.26367923828125,False,REGULAR,USD,put
SPY241002P00552000,2024-10-01 20:14:32+00:00,552.0,0.03,0.02,0.03,0.0,0.0,6460.0,586,0.2500075,False,REGULAR,USD,put
SPY241002P00553000,2024-10-01 20:14:32+00:00,553.0,0.04,0.03,0.04,0.01,33.333336,8131.0,4354,0.2461012890625,False,REGULAR,USD,put
SPY241002P00554000,2024-10-01 20:14:01+00:00,554.0,0.05,0.03,0.04,0.010000002,25.000004,9823.0,2133,0.23242955078125,False,REGULAR,USD,put
SPY241002P00555000,2024-10-01 20:14:54+00:00,555.0,0.05,0.05,0.06,0.0,0.0,9829.0,8671,0.23242955078125,False,REGULAR,USD,put
SPY241002P00556000,2024-10-01 20:14:32+00:00,556.0,0.06,0.05,0.06,0.0,0.0,14304.0,2633,0.21875781249999998,False,REGULAR,USD,put
SPY241002P00557000,2024-10-01 20:14:40+00:00,557.0,0.09,0.07,0.08,0.030000005,50.000008,18708.0,1494,0.213875048828125,False,REGULAR,USD,put
SPY241002P00558000,2024-10-01 20:14:53+00:00,558.0,0.12,0.11,0.12,0.06,100.0,24600.0,5059,0.213875048828125,False,REGULAR,USD,put
SPY241002P00559000,2024-10-01 20:14:39+00:00,559.0,0.16,0.15,0.16,0.06999999,77.77776,15254.0,2928,0.20996883789062498,False,REGULAR,USD,put
SPY241002P00560000,2024-10-01 20:14:58+00:00,560.0,0.19,0.2,0.21,0.08,72.72727,50071.0,6432,0.20459779785156246,False,REGULAR,USD,put
SPY241002P00561000,2024-10-01 20:14:59+00:00,561.0,0.27,0.27,0.28,0.14000002,107.69233,16816.0,1423,0.20069158691406247,False,REGULAR,USD,put
SPY241002P00562000,2024-10-01 20:14:46+00:00,562.0,0.37,0.36,0.37,0.2,117.64706,29445.0,3438,0.19654123779296873,False,REGULAR,USD,put
SPY241002P00563000,2024-10-01 20:14:59+00:00,563.0,0.49,0.48,0.49,0.28000003,133.33336,35509.0,5275,0.1928791650390625,False,REGULAR,USD,put
SPY241002P00564000,2024-10-01 20:14:56+00:00,564.0,0.63,0.63,0.64,0.35999998,133.33333,32266.0,2696,0.188484677734375,False,REGULAR,USD,put
SPY241002P00565000,2024-10-01 20:14:59+00:00,565.0,0.83,0.83,0.84,0.48,137.14285,84368.0,3752,0.18506674316406246,False,REGULAR,USD,put
SPY241002P00566000,2024-10-01 20:14:59+00:00,566.0,1.06,1.06,1.07,0.61999995,140.90909,56838.0,4033,0.179695703125,False,REGULAR,USD,put
SPY241002P00567000,2024-10-01 20:14:57+00:00,567.0,1.36,1.35,1.36,0.8,142.85715,77000.0,1689,0.17456880126953128,False,REGULAR,USD,put
SPY241002P00568000,2024-10-01 20:14:59+00:00,568.0,1.68,1.68,1.7,0.9599999,133.33331,96217.0,3721,0.1680991394042969,False,REGULAR,USD,put
SPY241002P00569000,2024-10-01 20:14:59+00:00,569.0,2.09,2.09,2.12,1.1999999,134.83145,70300.0,3543,0.16199568481445312,True,REGULAR,USD,put
SPY241002P00570000,2024-10-01 20:14:54+00:00,570.0,2.59,2.59,2.62,1.4799999,133.33331,75601.0,7763,0.15552602294921875,True,REGULAR,USD,put
SPY241002P00571000,2024-10-01 20:14:39+00:00,571.0,3.22,3.17,3.22,1.84,133.33333,30045.0,4476,0.14991084472656252,True,REGULAR,USD,put
SPY241002P00572000,2024-10-01 20:14:27+00:00,572.0,3.91,3.84,3.9,2.2,128.65497,10502.0,2883,0.14295290649414064,True,REGULAR,USD,put
SPY241002P00573000,2024-10-01 20:13:42+00:00,573.0,4.67,4.59,4.67,2.5700002,122.380974,10724.0,3163,0.13575083007812502,True,REGULAR,USD,put
SPY241002P00574000,2024-10-01 20:14:35+00:00,574.0,5.5,5.41,5.5,2.96,116.53544,4147.0,1663,0.1235439208984375,True,REGULAR,USD,put
