,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,delta,gamma,theta,vega,lastPrice,strike,support,SMA_20,SMA_50,RSI,BB_upper,BB_lower,Momentum_14,Close_lag1,RSI_lag1
2024-06-10,529.8402412195088,532.6326374172725,529.2340767154915,532.3046875,35729300.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,525.6794860839843,514.7382586669922,58.71728925050913,533.6250519100502,517.7339202579185,5.56488037109375,530.6651000976562,57.336015683050604
2024-06-11,530.7246440779637,533.6462306263662,528.7172777551019,533.5866088867188,36383400.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,526.4764617919922,515.0322064208984,58.704417818176246,534.2248327844314,518.7280907995529,5.554931640625,532.3046875,58.71728925050913
2024-06-12,538.2373833788922,540.7117769987194,536.915697150594,537.9690551757812,63251300.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,527.3738098144531,515.4797845458984,66.47626838083636,536.0733939657335,518.6742256631727,11.45782470703125,533.5866088867188,58.704417818176246
2024-06-13,539.7478736059662,539.9267388543336,536.2101749482772,539.05224609375,44760900.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,528.0033416748047,515.9376995849609,75.59770566452208,538.1301241643774,517.8765591852319,16.38671875,537.9690551757812,66.47626838083636
2024-06-14,537.4920040407941,539.4099074976143,536.4684267112568,539.380126953125,40089900.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,528.7034301757812,516.5281768798828,72.95253997273505,539.9411383823995,517.465721969163,13.25640869140625,539.05224609375,75.59770566452208
2024-06-17,538.684520335546,545.094130766412,538.2174327958913,543.6730346679688,55839500.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,529.5804016113282,517.0979852294922,76.18904969057357,542.5740226488188,516.5867805738376,17.181640625,539.380126953125,72.95253997273505
2024-06-18,543.7326352508217,545.1835118384386,543.3053359924395,545.0543212890625,41376400.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,530.496127319336,517.6896551513672,86.47792952176628,545.1253305076696,515.8669241310024,22.249755859375,543.6730346679688,76.18904969057357
2024-06-20,545.9984493525308,546.6741827263257,541.7651232096896,543.57373046875,70328200.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,531.2732299804687,518.2397869873047,92.50645994832041,546.9639040607698,515.5825559001677,24.23724365234375,545.0543212890625,86.47792952176628
2024-06-21,542.7353216721137,543.9814993386566,541.359536660369,542.844970703125,64513900.0,1.759,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,532.0899169921875,518.8786938476562,88.3095504918441,548.4240977681144,515.7557362162605,18.7783203125,543.57373046875,92.50645994832041
2024-06-24,542.6654869095579,545.2774702309454,540.9606940866694,541.080322265625,45528700.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,533.0106567382812,519.4051928710937,82.08689820314032,549.1832715112951,516.8380419652674,16.58636474609375,542.844970703125,88.3095504918441
2024-06-25,542.3265432965302,543.5328651876017,540.7812951540958,543.1640014648438,38273300.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,533.8626708984375,520.1154699707031,83.06785358732483,550.3008863272981,517.4244554695769,18.083740234375,541.080322265625,82.08689820314032
2024-06-26,542.0274769406224,544.5696672392222,541.3695218986453,543.8419189453125,38550600.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,534.7301971435547,520.9665032958984,78.74340766812198,551.3606608468627,518.0997334402467,12.52099609375,543.1640014648438,83.06785358732483
2024-06-27,543.7023376312073,545.287502429335,542.944651858443,544.6992797851562,35041500.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,535.8249328613281,521.85296875,79.58342549185679,552.0270219098254,519.6228438128308,13.3883056640625,543.8419189453125,78.74340766812198
2024-06-28,545.486798263383,548.5973135139099,541.2897110762246,542.5557861328125,76144500.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,536.9858978271484,522.7557916259766,74.64322307254443,551.4473912714791,522.5244043828177,11.89068603515625,544.6992797851562,79.58342549185679
2024-07-01,543.9615156160739,544.2107511377408,540.861040330183,543.6724243164062,40297800.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,537.9661865234375,523.7014178466796,74.08141047356267,551.3588288761855,524.5735441706895,11.36773681640625,542.5557861328125,74.64322307254443
2024-07-02,542.0374167887238,547.3311767578125,541.9875818548202,547.3311767578125,40434800.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,539.1080474853516,524.8068731689453,76.45266404948678,551.5227992137997,526.6932957569035,13.74456787109375,543.6724243164062,74.08141047356267
2024-07-03,547.0121934350353,550.1426064052322,546.9723376543045,549.7737426757812,32789900.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,540.3427215576172,525.8705511474609,74.55251278353552,551.7545220305645,528.9309210846699,11.8046875,547.3311767578125,76.45266404948678
2024-07-05,550.0827508255076,553.3526892059208,549.4347141342516,552.9439697265625,41488400.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,541.4238739013672,526.8797766113281,76.58529178152595,553.3235373055235,529.5242104972109,13.8917236328125,549.7737426757812,74.55251278353552
2024-07-08,553.7415152105652,554.5490358670557,552.4953376018752,553.58203125,36110500.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,542.5374267578125,527.906533203125,76.86001357522476,554.6192486598471,530.4556048557778,14.201904296875,552.9439697265625,76.58529178152595
2024-07-09,554.5590182829026,555.4761879707042,553.8212908699849,554.120361328125,27289700.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,543.7101898193359,528.9822155761718,73.02967760684773,555.4894245921712,531.9309550465007,10.44732666015625,553.58203125,76.86001357522476
2024-07-10,555.3665725096308,559.9524820743209,555.0675020334154,559.6035766601562,38701200.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,545.0751342773438,530.072759399414,77.16010418541906,557.5930545759109,532.5572139787766,14.54925537109375,554.120361328125,73.02967760684773
2024-07-11,559.7231750337523,560.6104681063581,554.1303444566381,554.7783203125,53054200.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,546.1347198486328,531.0310241699219,68.59441851419682,558.1349675020438,534.1344721952219,11.20458984375,559.6035766601562,77.16010418541906
2024-07-12,555.9248191759983,561.9463274579706,555.4463064471972,558.277587890625,53084400.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,547.150146484375,532.2198614501954,73.45424322479147,559.666893770475,534.633399198275,15.4326171875,554.7783203125,68.59441851419682
2024-07-15,560.311398296651,563.1128031668419,557.9187129145695,559.8129272460938,40584300.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,548.1881805419922,533.4718017578125,78.66933698509342,561.3062460625017,535.0701150214827,18.73260498046875,558.277587890625,73.45424322479147
2024-07-16,561.1487854201745,563.4317608849002,560.3811205446985,563.1326904296875,36475300.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,549.3758087158203,534.6971240234375,79.44696761046876,563.4054364516282,535.3461809800124,19.96868896484375,559.8129272460938,78.66933698509342
2024-07-17,557.0912361884987,558.7960290937725,554.907930544278,555.2369384765625,57119000.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,549.95400390625,535.6401147460938,63.85445608035905,563.9471576841147,535.9608501283853,11.39501953125,563.1326904296875,79.44696761046876
2024-07-18,556.8021182483812,557.8090394621793,548.7468093865112,550.969970703125,56270400.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,550.2497863769531,536.3928271484375,57.040399430403255,564.0556983712727,536.4438743826336,6.27069091796875,555.2369384765625,63.85445608035905
2024-07-19,550.7307222661709,552.3856801805274,546.2345037865905,547.3112182617188,65509100.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,550.4366607666016,537.0610363769531,55.163460200274365,563.9603806519619,536.9129408812412,4.75543212890625,550.969970703125,57.040399430403255
2024-07-22,551.3090006301042,553.572078747978,549.3350746744194,552.9539794921875,43346700.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,550.9421112060547,537.8411083984375,59.1760286065644,564.0194180301555,537.864804381954,9.28155517578125,547.3112182617188,55.163460200274365
2024-07-23,552.8442337473787,555.0375184716968,551.588137851579,552.0866088867188,34439600.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,551.4924255371094,538.5446057128906,54.97600547716337,563.721156649936,539.2636944242828,4.75543212890625,552.9539794921875,59.1760286065644
2024-07-24,547.1816242325932,547.490673848427,538.6378231676504,539.574951171875,74515300.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,551.3129730224609,538.9845520019531,41.185556079543474,564.1466732363908,538.479272808531,-10.19879150390625,552.0866088867188,54.97600547716337
2024-07-25,539.6945619062409,545.7859241610148,535.8065243664755,536.7635498046875,61158300.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,550.9590545654297,539.3668811035157,35.928575978258564,564.9944027381988,536.9237063926606,-16.180419921875,539.574951171875,41.185556079543474
2024-07-26,540.6217783727961,545.5167371943498,539.8341551894262,542.775146484375,53763800.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,550.8628479003906,539.8219421386718,41.40502126172307,565.103735652161,536.6219601486202,-10.806884765625,536.7635498046875,35.928575978258564
2024-07-29,544.3503340026783,545.3771527038682,541.0603764598081,543.0941772460938,39515800.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,550.8897674560546,540.1545935058593,41.19990997898535,565.0664285883006,536.7131063238087,-11.02618408203125,542.775146484375,41.40502126172307
2024-07-30,544.5895731947573,545.666287644811,536.8732514744864,540.3425903320312,46853600.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,550.723275756836,540.4538781738281,33.92681058439072,565.3285573368524,536.1179941768195,-19.260986328125,543.0941772460938,41.19990997898535
2024-07-31,547.301250320355,551.8074480487554,545.9055679003443,549.1256713867188,65663400.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,550.8130004882812,540.9137194824219,45.57517938074585,565.3524399997076,536.2735609768548,-5.65264892578125,540.3425903320312,33.92681058439072
2024-08-01,550.8803125382947,553.1732672362167,537.7804785256936,541.3495483398438,76428700.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,550.3917907714844,541.2059143066406,37.58052425735879,565.5336198931417,535.249961649827,-16.92803955078125,549.1256713867188,45.57517938074585
2024-08-02,534.1117073017926,535.3479057173215,526.9835472513131,531.2704467773438,82789100.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,549.3081146240235,541.2706896972657,31.392202583222584,566.6266857169711,531.9895435310758,-28.54248046875,541.3495483398438,37.58052425735879
2024-08-05,510.0754746346891,521.9789658356743,508.70963839063586,515.7979125976562,146267400.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,547.4189086914063,541.0564233398437,23.361849196355507,570.1668020246941,524.6710153581184,-47.33477783203125,531.2704467773438,31.392202583222584
2024-08-06,517.6322508107505,528.1300803889604,516.2864033077316,520.5533447265625,84826300.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,545.7405578613282,541.0141796875,29.766277604096203,571.1983802441929,520.2827354784635,-34.68359375,515.7979125976562,23.361849196355507
2024-08-07,526.853974399559,529.9644898031589,516.4658545181452,517.073974609375,70698300.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,543.6140777587891,540.8331848144531,30.042348090957844,571.2112926253687,516.0168628922095,-33.89599609375,520.5533447265625,29.766277604096203
2024-08-08,522.3079029588757,529.6653404419462,520.2442863817973,529.02734375,63276600.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,542.326528930664,540.8839038085938,40.192571494049666,570.1326495458387,514.5204083154894,-18.28387451171875,517.073974609375,30.042348090957844
2024-08-09,528.1898998312505,532.8755399442665,526.9437221867524,531.3601684570312,45619600.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,540.9806579589844,541.0550158691407,37.99069243276454,568.1340392122596,513.8272767057091,-21.59381103515625,529.02734375,40.192571494049666
2024-08-12,532.5764712875038,534.091781931366,529.3264302438555,531.6393432617188,42542100.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,539.5719787597657,541.3010729980468,38.553450351861954,565.5076168749645,513.6363406445669,-20.447265625,531.3601684570312,37.99069243276454
2024-08-13,534.8893467122859,540.6217634935539,534.6401112000568,540.3824462890625,52333100.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,538.4344665527344,541.6273889160157,50.47195590226696,561.8968365766108,514.9720965288581,0.8074951171875,531.6393432617188,38.553450351861954
2024-08-14,541.1900080218534,543.2936021497195,538.4683754931099,542.0872802734375,42446900.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,537.7769836425781,541.9792553710937,53.15233136053616,559.9588522159795,515.5951150691767,5.32373046875,540.3824462890625,50.47195590226696
2024-08-15,547.8196935186993,551.667875488271,547.2015942737844,551.3787841796875,60846800.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,537.7974243164062,542.5052258300781,54.90397447297634,560.0311746572256,515.5636739755869,8.6036376953125,542.0872802734375,53.15233136053616
2024-08-16,549.7338128719648,553.3228410528949,549.5743289043432,552.614990234375,44430700.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,538.062612915039,542.9311071777344,55.37060104706563,560.8926708589337,515.2325549711444,9.52081298828125,551.3787841796875,54.90397447297634
2024-08-19,553.0336604584538,557.8987426757812,552.1663257169051,557.8987426757812,39121800.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,538.3098510742187,543.4628625488281,59.62820739407766,561.9129354104946,514.7067667379429,17.55615234375,552.614990234375,55.37060104706563
2024-08-20,557.4402132741827,559.1250478985908,555.6257713057036,556.9915771484375,33732300.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,538.5550994873047,543.9893920898437,54.72174409411028,562.8526256814446,514.2575732931648,7.86590576171875,557.8987426757812,59.62820739407766
2024-08-21,558.0583241994157,560.3911347444695,553.0336968435711,558.9057006835938,41514600.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,539.5216369628906,544.5214123535156,61.33642427328491,565.4717081675124,513.5715657582689,17.55615234375,556.9915771484375,54.72174409411028
2024-08-22,560.8397436724371,561.4578429047157,553.2829055393491,554.5191040039062,56121500.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,540.4094146728515,544.9400622558594,66.20341538283529,567.1645751839181,513.6542541617849,23.2486572265625,558.9057006835938,61.33642427328491
2024-08-23,557.8190466371559,561.3681581060449,555.5858452035197,560.4110717773438,50639400.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,541.2912109375,545.3889025878906,85.88607843522318,569.4977862188849,513.084635656115,44.6131591796875,554.5191040039062,66.20341538283529
2024-08-26,561.4578404826157,562.1855887387843,557.3404647717539,559.0751342773438,35788600.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,542.0902587890625,545.7893603515626,82.7901225588246,571.3959055081428,512.7846120699822,38.52178955078125,560.4110717773438,85.88607843522318
2024-08-27,557.7791569087128,560.3413055504632,556.6127516242301,559.8428344726562,32693900.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,543.0652709960938,546.1986145019531,88.167221697512,573.4053991504239,512.7251428417636,42.76885986328125,559.0751342773438,82.7901225588246
2024-08-28,559.4939090819285,559.932566048678,553.3427323904716,556.5927734375,41066000.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,543.4386260986328,546.4570092773438,79.12356907394128,574.2725207320469,512.6047314652186,27.5654296875,559.8428344726562,88.167221697512
2024-08-29,558.596606479521,561.9562963735366,555.4761729455458,556.642578125,38715200.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,544.2032775878906,546.6887744140626,78.06541484917346,575.5728884003285,512.8336667754528,25.28240966796875,556.5927734375,79.12356907394128
2024-08-30,559.0552241771917,562.4747281761535,555.4363195944869,561.956298828125,62700100.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,545.7375701904297,547.05642578125,80.27065535746715,577.443720570263,514.0314198105963,30.31695556640625,556.642578125,78.06541484917346
2024-09-03,558.7560822327254,559.0950693034819,547.829636294545,550.3917846679688,60600100.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,547.4672637939453,547.2073620605469,59.46099997807724,575.9019412252471,519.0325863626435,10.00933837890625,561.956298828125,80.27065535746715
2024-09-04,548.5175522186577,552.7345978042155,547.7798248049543,549.2652587890625,47224900.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,548.9028594970703,547.3710607910157,56.85974400492764,574.3594344059557,523.4462845881849,7.177978515625,550.3917846679688,59.46099997807724
2024-09-05,549.2054363571287,552.1065110328964,545.426986935679,547.9293212890625,44264300.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,550.4456268310547,547.4663671875,46.11231874088545,571.0595923141036,529.8316613480058,-3.449462890625,549.2652587890625,56.85974400492764
2024-09-06,548.2583643657855,549.9132615492448,537.7904718679051,538.7076416015625,68493800.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,550.9296417236328,547.363681640625,36.71682441523434,569.8076211551536,532.051662292112,-13.9073486328125,547.9293212890625,46.11231874088545
